index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
39,"[0, 80[", Self-emp-not-inc,265477,*,12,*,*, Husband,*,*,0,0,40,*,<=50K
40,"[0, 80[", Private,507875,*,5,*,*, Husband,*,*,0,0,43,*,<=50K
41,"[0, 80[", Self-emp-not-inc,88506,*,13,*,*, Husband,*,*,0,0,40,*,<=50K
42,"[0, 80[", Private,172987,*,13,*,*, Husband,*,*,0,0,50,*,<=50K
43,"[0, 80[", Private,94638,*,9,*,*, Unmarried,*,*,0,0,40,*,<=50K
44,"[0, 80[", Private,289980,*,9,*,*, Not-in-family,*,*,0,0,35,*,<=50K
45,"[0, 80[", Federal-gov,337895,*,13,*,*, Husband,*,*,0,0,40,*,>50K
46,"[0, 80[", Private,144361,*,9,*,*, Husband,*,*,0,0,38,*,<=50K
47,"[0, 80[", Private,128354,*,14,*,*, Unmarried,*,*,0,0,40,*,<=50K
48,"[0, 80[", State-gov,101603,*,11,*,*, Husband,*,*,0,0,40,*,<=50K
49,"[0, 80[", Private,271466,*,11,*,*, Not-in-family,*,*,0,0,43,*,<=50K
50,"[0, 80[", Private,32275,*,10,*,*, Wife,*,*,0,0,40,*,<=50K
51,"[0, 80[", Private,226956,*,9,*,*, Own-child,*,*,0,0,30,*,<=50K
53,"[0, 80[", Federal-gov,251585,*,13,*,*, Not-in-family,*,*,0,0,55,*,>50K
54,"[0, 80[", Self-emp-inc,109832,*,9,*,*, Not-in-family,*,*,0,0,60,*,<=50K
55,"[0, 80[", Private,237993,*,10,*,*, Husband,*,*,0,0,40,*,>50K
56,"[0, 80[", Private,216666,*,3,*,*, Husband,*,*,0,0,40,*,<=50K
57,"[0, 80[", Private,56352,*,11,*,*, Husband,*,*,0,0,40,*,<=50K
58,"[0, 80[", Private,147372,*,9,*,*, Husband,*,*,0,0,48,*,<=50K
59,"[0, 80[", Private,188146,*,9,*,*, Husband,*,*,5013,0,40,*,<=50K
60,"[0, 80[", Private,59496,*,13,*,*, Husband,*,*,2407,0,40,*,<=50K
61,"[0, 80[", ?,293936,*,4,*,*, Not-in-family,*,*,0,0,40,*,<=50K
62,"[0, 80[", Private,149640,*,9,*,*, Husband,*,*,0,0,40,*,<=50K
63,"[0, 80[", Private,116632,*,16,*,*, Husband,*,*,0,0,45,*,>50K
64,"[0, 80[", Private,105598,*,10,*,*, Not-in-family,*,*,0,0,58,*,<=50K
65,"[0, 80[", Private,155537,*,9,*,*, Husband,*,*,0,0,40,*,<=50K
66,"[0, 80[", Private,183175,*,10,*,*, Not-in-family,*,*,0,0,40,*,<=50K
67,"[0, 80[", Private,169846,*,9,*,*, Wife,*,*,0,0,40,*,>50K
68,"[0, 80[", Self-emp-inc,191681,*,10,*,*, Husband,*,*,0,0,50,*,>50K
69,"[0, 80[", ?,200681,*,10,*,*, Own-child,*,*,0,0,40,*,<=50K
71,"[0, 80[", Private,309974,*,13,*,*, Own-child,*,*,0,0,40,*,<=50K
72,"[0, 80[", Self-emp-not-inc,162298,*,13,*,*, Husband,*,*,0,0,70,*,>50K
73,"[0, 80[", Private,211678,*,10,*,*, Not-in-family,*,*,0,0,40,*,<=50K
74,"[0, 80[", Private,124744,*,10,*,*, Other-relative,*,*,0,0,20,*,<=50K
75,"[0, 80[", Private,213921,*,9,*,*, Own-child,*,*,0,0,40,*,<=50K
76,"[0, 80[", Private,32214,*,12,*,*, Husband,*,*,0,0,40,*,<=50K
77,"[0, 80[", ?,212759,*,6,*,*, Husband,*,*,0,0,2,*,<=50K
78,"[0, 80[", Private,309634,*,7,*,*, Own-child,*,*,0,0,22,*,<=50K
79,"[0, 80[", Local-gov,125927,*,4,*,*, Husband,*,*,0,0,40,*,<=50K
80,"[0, 80[", Private,446839,*,9,*,*, Not-in-family,*,*,0,0,30,*,<=50K
81,"[0, 80[", Private,276515,*,13,*,*, Husband,*,*,0,0,40,*,<=50K
82,"[0, 80[", Private,51618,*,9,*,*, Wife,*,*,0,0,40,*,<=50K
83,"[0, 80[", Private,159937,*,9,*,*, Husband,*,*,0,0,48,*,<=50K
84,"[0, 80[", Private,343591,*,9,*,*, Not-in-family,*,*,14344,0,40,*,>50K
85,"[0, 80[", Private,346253,*,9,*,*, Own-child,*,*,0,0,35,*,<=50K
86,"[0, 80[", Local-gov,268234,*,9,*,*, Husband,*,*,0,0,40,*,>50K
87,"[0, 80[", Private,202051,*,14,*,*, Husband,*,*,0,0,50,*,<=50K
88,"[0, 80[", Private,54334,*,5,*,*, Not-in-family,*,*,0,0,40,*,<=50K
89,"[0, 80[", Federal-gov,410867,*,16,*,*, Not-in-family,*,*,0,0,50,*,>50K
90,"[0, 80[", Private,249977,*,11,*,*, Husband,*,*,0,0,40,*,<=50K
91,"[0, 80[", Private,286730,*,10,*,*, Unmarried,*,*,0,0,40,*,<=50K
92,"[0, 80[", Private,212563,*,10,*,*, Unmarried,*,*,0,0,25,*,<=50K
93,"[0, 80[", Private,117747,*,9,*,*, Wife,*,*,0,1573,35,*,<=50K
94,"[0, 80[", Local-gov,226296,*,13,*,*, Husband,*,*,0,0,40,*,>50K
95,"[0, 80[", Local-gov,115585,*,10,*,*, Not-in-family,*,*,0,0,50,*,<=50K
96,"[0, 80[", Self-emp-not-inc,191277,*,16,*,*, Husband,*,*,0,1902,60,*,>50K
97,"[0, 80[", Private,202683,*,10,*,*, Husband,*,*,0,0,48,*,>50K
98,"[0, 80[", Private,171095,*,12,*,*, Unmarried,*,*,0,0,40,*,<=50K
99,"[0, 80[", Federal-gov,249409,*,9,*,*, Own-child,*,*,0,0,40,*,<=50K
100,"[0, 80[", Private,124191,*,14,*,*, Husband,*,*,0,0,40,*,>50K
101,"[0, 80[", Private,198282,*,13,*,*, Husband,*,*,15024,0,60,*,>50K
102,"[0, 80[", Self-emp-not-inc,149116,*,14,*,*, Not-in-family,*,*,0,0,50,*,<=50K
103,"[0, 80[", Private,188300,*,10,*,*, Own-child,*,*,0,0,40,*,<=50K
104,"[0, 80[", Private,103432,*,9,*,*, Not-in-family,*,*,0,0,40,*,<=50K
105,"[0, 80[", Self-emp-inc,317660,*,9,*,*, Husband,*,*,7688,0,40,*,>50K
106,"[0, 80[", ?,304873,*,6,*,*, Own-child,*,*,34095,0,32,*,<=50K
107,"[0, 80[", Private,194901,*,7,*,*, Own-child,*,*,0,0,40,*,<=50K
108,"[0, 80[", Local-gov,189265,*,9,*,*, Not-in-family,*,*,0,0,40,*,<=50K
109,"[0, 80[", Private,124692,*,9,*,*, Husband,*,*,0,0,40,*,<=50K
110,"[0, 80[", Private,432376,*,13,*,*, Other-relative,*,*,0,0,40,*,<=50K
111,"[0, 80[", Private,65324,*,15,*,*, Husband,*,*,0,0,40,*,>50K
112,"[0, 80[", Self-emp-not-inc,335605,*,9,*,*, Husband,*,*,0,1887,50,*,>50K
113,"[0, 80[", Private,377869,*,10,*,*, Wife,*,*,4064,0,25,*,<=50K
114,"[0, 80[", Private,102864,*,9,*,*, Own-child,*,*,0,0,40,*,<=50K
115,"[0, 80[", Private,95647,*,5,*,*, Husband,*,*,0,0,50,*,<=50K
116,"[0, 80[", Self-emp-inc,303090,*,10,*,*, Husband,*,*,0,0,50,*,<=50K
117,"[0, 80[", Local-gov,197371,*,11,*,*, Husband,*,*,0,0,40,*,>50K
118,"[0, 80[", Private,247552,*,10,*,*, Husband,*,*,0,0,56,*,<=50K
119,"[0, 80[", Private,102632,*,9,*,*, Not-in-family,*,*,0,0,41,*,<=50K
120,"[0, 80[", Private,199915,*,10,*,*, Own-child,*,*,0,0,40,*,<=50K
121,"[0, 80[", Private,118853,*,13,*,*, Husband,*,*,0,0,60,*,<=50K
122,"[0, 80[", Private,77143,*,13,*,*, Own-child,*,*,0,0,40,*,<=50K
123,"[0, 80[", State-gov,267989,*,13,*,*, Husband,*,*,0,0,50,*,>50K
124,"[0, 80[", Private,301606,*,10,*,*, Own-child,*,*,0,0,35,*,<=50K
125,"[0, 80[", Private,287828,*,13,*,*, Wife,*,*,0,0,40,*,>50K
126,"[0, 80[", Private,111697,*,10,*,*, Own-child,*,*,0,1719,28,*,<=50K
127,"[0, 80[", Private,114937,*,12,*,*, Husband,*,*,0,0,40,*,>50K
128,"[0, 80[", ?,129305,*,9,*,*, Husband,*,*,0,0,40,*,<=50K
129,"[0, 80[", Private,365739,*,10,*,*, Not-in-family,*,*,0,0,40,*,<=50K
130,"[0, 80[", Private,69621,*,12,*,*, Not-in-family,*,*,0,0,60,*,<=50K
131,"[0, 80[", Private,43323,*,9,*,*, Not-in-family,*,*,0,1762,40,*,<=50K
132,"[0, 80[", Self-emp-not-inc,120985,*,9,*,*, Husband,*,*,4386,0,35,*,<=50K
133,"[0, 80[", Private,254202,*,13,*,*, Husband,*,*,0,0,50,*,<=50K
134,"[0, 80[", Private,146195,*,12,*,*, Not-in-family,*,*,0,0,36,*,<=50K
135,"[0, 80[", Federal-gov,125933,*,14,*,*, Husband,*,*,0,0,40,*,>50K
136,"[0, 80[", Self-emp-not-inc,56920,*,9,*,*, Husband,*,*,0,0,60,*,<=50K
137,"[0, 80[", Private,163127,*,11,*,*, Wife,*,*,0,0,35,*,<=50K
138,"[0, 80[", Private,34310,*,10,*,*, Own-child,*,*,0,0,20,*,<=50K
139,"[0, 80[", Private,81973,*,10,*,*, Husband,*,*,0,0,40,*,>50K
140,"[0, 80[", Self-emp-inc,66614,*,9,*,*, Husband,*,*,0,0,40,*,<=50K
141,"[0, 80[", Private,232782,*,10,*,*, Own-child,*,*,0,0,40,*,<=50K
142,"[0, 80[", Private,316868,*,10,*,*, Own-child,*,*,0,0,30,*,<=50K
143,"[0, 80[", Private,196584,*,11,*,*, Not-in-family,*,*,0,1564,40,*,>50K
145,"[0, 80[", Private,185814,*,9,*,*, Unmarried,*,*,0,0,30,*,<=50K
146,"[0, 80[", Private,175374,*,10,*,*, Husband,*,*,0,0,24,*,<=50K
147,"[0, 80[", Private,108293,*,9,*,*, Unmarried,*,*,0,0,24,*,<=50K
148,"[0, 80[", Private,181232,*,7,*,*, Husband,*,*,0,2179,40,*,<=50K
149,"[0, 80[", ?,174662,*,10,*,*, Not-in-family,*,*,0,0,40,*,<=50K
150,"[0, 80[", Local-gov,186009,*,10,*,*, Unmarried,*,*,0,0,38,*,<=50K
151,"[0, 80[", Private,198183,*,9,*,*, Not-in-family,*,*,0,0,40,*,<=50K
152,"[0, 80[", Private,163003,*,13,*,*, Other-relative,*,*,0,0,40,*,<=50K
153,"[0, 80[", Private,296158,*,9,*,*, Own-child,*,*,0,0,35,*,<=50K
154,"[0, 80[", ?,252903,*,9,*,*, Not-in-family,*,*,0,0,45,*,>50K
155,"[0, 80[", Private,187715,*,9,*,*, Husband,*,*,0,0,46,*,<=50K
156,"[0, 80[", Private,214542,*,13,*,*, Not-in-family,*,*,0,0,40,*,<=50K
158,"[0, 80[", Private,191535,*,9,*,*, Not-in-family,*,*,0,0,60,*,<=50K
159,"[0, 80[", Private,228456,*,13,*,*, Other-relative,*,*,0,0,50,*,<=50K
161,"[0, 80[", Private,252752,*,9,*,*, Unmarried,*,*,0,0,40,*,<=50K
162,"[0, 80[", Self-emp-inc,78374,*,14,*,*, Unmarried,*,*,0,0,40,*,<=50K
163,"[0, 80[", Private,88419,*,9,*,*, Not-in-family,*,*,0,0,40,*,<=50K
164,"[0, 80[", Self-emp-not-inc,201080,*,14,*,*, Husband,*,*,0,0,40,*,>50K
165,"[0, 80[", Private,207157,*,10,*,*, Unmarried,*,*,0,0,40,*,<=50K
166,"[0, 80[", Federal-gov,235485,*,12,*,*, Not-in-family,*,*,0,0,42,*,<=50K
168,"[0, 80[", Private,25828,*,7,*,*, Own-child,*,*,0,0,16,*,<=50K
170,"[0, 80[", Private,124953,*,9,*,*, Not-in-family,*,*,0,1980,40,*,<=50K
171,"[0, 80[", State-gov,175325,*,9,*,*, Husband,*,*,0,0,40,*,<=50K
172,"[0, 80[", Private,96062,*,10,*,*, Husband,*,*,0,1977,40,*,>50K
173,"[0, 80[", Private,428030,*,13,*,*, Not-in-family,*,*,0,0,50,*,<=50K
174,"[0, 80[", State-gov,149624,*,13,*,*, Husband,*,*,0,0,40,*,>50K
175,"[0, 80[", Private,253814,*,9,*,*, Unmarried,*,*,0,0,25,*,<=50K
176,"[0, 80[", Private,312956,*,9,*,*, Own-child,*,*,0,0,40,*,<=50K
177,"[0, 80[", Private,483777,*,9,*,*, Not-in-family,*,*,0,0,40,*,<=50K
178,"[0, 80[", Private,183930,*,9,*,*, Own-child,*,*,0,0,12,*,<=50K
179,"[0, 80[", Private,37274,*,13,*,*, Husband,*,*,0,0,65,*,<=50K
180,"[0, 80[", Local-gov,181344,*,10,*,*, Husband,*,*,0,0,38,*,>50K
181,"[0, 80[", Private,114580,*,10,*,*, Not-in-family,*,*,0,0,40,*,<=50K
182,"[0, 80[", Private,633742,*,10,*,*, Not-in-family,*,*,0,0,45,*,<=50K
183,"[0, 80[", Private,286370,*,4,*,*, Husband,*,*,0,0,40,*,>50K
184,"[0, 80[", Federal-gov,29054,*,10,*,*, Husband,*,*,0,0,42,*,>50K
185,"[0, 80[", Private,304030,*,9,*,*, Husband,*,*,0,0,40,*,<=50K
186,"[0, 80[", Self-emp-not-inc,143129,*,13,*,*, Not-in-family,*,*,0,0,40,*,<=50K
187,"[0, 80[", ?,135105,*,13,*,*, Not-in-family,*,*,0,0,50,*,<=50K
189,"[0, 80[", State-gov,109567,*,16,*,*, Husband,*,*,0,0,1,*,>50K
190,"[0, 80[", Private,155222,*,10,*,*, Not-in-family,*,*,0,0,28,*,<=50K
191,"[0, 80[", Private,159567,*,10,*,*, Husband,*,*,0,0,40,*,<=50K
192,"[0, 80[", Local-gov,523910,*,13,*,*, Husband,*,*,0,0,40,*,<=50K
193,"[0, 80[", Private,120939,*,10,*,*, Husband,*,*,0,0,45,*,<=50K
194,"[0, 80[", Federal-gov,130760,*,13,*,*, Husband,*,*,0,0,24,*,<=50K
196,"[0, 80[", Private,99374,*,10,*,*, Not-in-family,*,*,0,0,40,*,<=50K
197,"[0, 80[", Federal-gov,56795,*,14,*,*, Not-in-family,*,*,14084,0,55,*,>50K
198,"[0, 80[", Private,138992,*,14,*,*, Other-relative,*,*,7298,0,40,*,>50K
199,"[0, 80[", Self-emp-not-inc,32921,*,9,*,*, Not-in-family,*,*,0,0,40,*,<=50K
200,"[0, 80[", Private,397317,*,14,*,*, Not-in-family,*,*,0,1876,40,*,<=50K
201,"[0, 80[", ?,170653,*,9,*,*, Own-child,*,*,0,0,40,*,<=50K
202,"[0, 80[", Private,259323,*,13,*,*, Husband,*,*,0,0,50,*,>50K
203,"[0, 80[", Local-gov,254817,*,10,*,*, Not-in-family,*,*,0,1340,40,*,<=50K
204,"[0, 80[", State-gov,48211,*,9,*,*, Unmarried,*,*,0,0,35,*,<=50K
205,"[0, 80[", Private,140164,*,7,*,*, Own-child,*,*,0,0,40,*,<=50K
206,"[0, 80[", Private,128757,*,13,*,*, Husband,*,*,7298,0,36,*,>50K
207,"[0, 80[", Private,36270,*,9,*,*, Not-in-family,*,*,0,0,60,*,<=50K
208,"[0, 80[", Self-emp-inc,210563,*,9,*,*, Wife,*,*,15024,0,35,*,>50K
209,"[0, 80[", Private,65368,*,7,*,*, Own-child,*,*,0,0,12,*,<=50K
210,"[0, 80[", Local-gov,160943,*,9,*,*, Husband,*,*,0,0,40,*,<=50K
211,"[0, 80[", Private,208358,*,9,*,*, Husband,*,*,0,0,40,*,>50K
212,"[0, 80[", Private,153790,*,10,*,*, Not-in-family,*,*,0,0,40,*,<=50K
213,"[0, 80[", Private,85815,*,9,*,*, Husband,*,*,0,0,40,*,<=50K
214,"[0, 80[", Self-emp-inc,125417,*,4,*,*, Husband,*,*,0,0,40,*,>50K
215,"[0, 80[", Private,635913,*,13,*,*, Not-in-family,*,*,0,0,60,*,>50K
216,"[0, 80[", Private,313321,*,12,*,*, Not-in-family,*,*,0,0,40,*,<=50K
217,"[0, 80[", Private,182609,*,13,*,*, Husband,*,*,0,0,50,*,<=50K
218,"[0, 80[", Private,109434,*,13,*,*, Husband,*,*,0,0,55,*,<=50K
219,"[0, 80[", Private,255004,*,6,*,*, Not-in-family,*,*,0,0,40,*,<=50K
220,"[0, 80[", Private,197860,*,10,*,*, Husband,*,*,0,0,40,*,<=50K
223,"[0, 80[", Private,176681,*,9,*,*, Husband,*,*,0,0,20,*,<=50K
225,"[0, 80[", Private,243313,*,9,*,*, Own-child,*,*,0,0,40,*,<=50K
226,"[0, 80[", ?,24215,*,6,*,*, Not-in-family,*,*,0,0,10,*,<=50K
227,"[0, 80[", Self-emp-not-inc,167687,*,9,*,*, Husband,*,*,1409,0,50,*,<=50K
229,"[0, 80[", Private,176796,*,9,*,*, Not-in-family,*,*,0,0,40,*,<=50K
230,"[0, 80[", Private,538583,*,7,*,*, Not-in-family,*,*,3674,0,40,*,<=50K
231,"[0, 80[", Private,130408,*,9,*,*, Unmarried,*,*,0,0,38,*,<=50K
232,"[0, 80[", Private,159732,*,10,*,*, Not-in-family,*,*,0,0,42,*,<=50K
233,"[0, 80[", Private,110978,*,10,*,*, Other-relative,*,*,0,0,40,*,<=50K
234,"[0, 80[", Private,76714,*,15,*,*, Not-in-family,*,*,0,0,55,*,>50K
235,"[0, 80[", State-gov,268700,*,9,*,*, Husband,*,*,0,0,40,*,<=50K
236,"[0, 80[", State-gov,170525,*,10,*,*, Not-in-family,*,*,0,0,38,*,<=50K
237,"[0, 80[", Private,180138,*,13,*,*, Husband,*,*,0,0,50,*,>50K
238,"[0, 80[", Local-gov,115076,*,14,*,*, Husband,*,*,0,0,70,*,>50K
239,"[0, 80[", Private,115458,*,9,*,*, Own-child,*,*,0,0,40,*,<=50K
240,"[0, 80[", Private,347890,*,13,*,*, Husband,*,*,0,0,40,*,>50K
241,"[0, 80[", Self-emp-not-inc,196001,*,9,*,*, Wife,*,*,0,0,20,*,<=50K
242,"[0, 80[", State-gov,273905,*,12,*,*, Husband,*,*,0,0,50,*,<=50K
243,"[0, 80[", ?,119156,*,10,*,*, Own-child,*,*,0,0,20,*,<=50K
244,"[0, 80[", Private,179488,*,10,*,*, Not-in-family,*,*,0,1741,40,*,<=50K
245,"[0, 80[", Private,203580,*,9,*,*, Husband,*,*,0,0,35,*,<=50K
246,"[0, 80[", Private,236596,*,9,*,*, Husband,*,*,0,0,45,*,>50K
247,"[0, 80[", Private,183916,*,9,*,*, Not-in-family,*,*,0,0,34,*,<=50K
248,"[0, 80[", Private,207578,*,12,*,*, Husband,*,*,0,1977,60,*,>50K
249,"[0, 80[", Private,153141,*,9,*,*, Husband,*,*,0,0,40,*,<=50K
251,"[0, 80[", Private,390781,*,13,*,*, Wife,*,*,0,0,40,*,<=50K
252,"[0, 80[", Local-gov,171328,*,6,*,*, Unmarried,*,*,0,0,30,*,<=50K
253,"[0, 80[", Local-gov,27382,*,10,*,*, Own-child,*,*,0,0,40,*,<=50K
254,"[0, 80[", Private,259014,*,10,*,*, Not-in-family,*,*,0,0,20,*,<=50K
255,"[0, 80[", Self-emp-not-inc,303044,*,9,*,*, Husband,*,*,0,0,40,*,>50K
256,"[0, 80[", Private,117789,*,9,*,*, Own-child,*,*,0,0,40,*,<=50K
257,"[0, 80[", Private,172579,*,9,*,*, Not-in-family,*,*,0,0,30,*,<=50K
258,"[0, 80[", Private,187666,*,11,*,*, Not-in-family,*,*,0,0,45,*,<=50K
259,"[0, 80[", Private,204518,*,4,*,*, Not-in-family,*,*,0,0,40,*,<=50K
260,"[0, 80[", Private,150042,*,13,*,*, Own-child,*,*,0,0,40,*,<=50K
261,"[0, 80[", Private,98092,*,9,*,*, Husband,*,*,0,0,60,*,<=50K
262,"[0, 80[", Private,245918,*,7,*,*, Own-child,*,*,0,0,12,*,<=50K
263,"[0, 80[", Private,146013,*,10,*,*, Husband,*,*,4064,0,40,*,<=50K
264,"[0, 80[", Private,378322,*,7,*,*, Husband,*,*,0,0,40,*,<=50K
265,"[0, 80[", Self-emp-inc,257295,*,10,*,*, Husband,*,*,0,0,75,*,>50K
266,"[0, 80[", ?,218956,*,10,*,*, Own-child,*,*,0,0,24,*,<=50K
267,"[0, 80[", Private,21174,*,9,*,*, Husband,*,*,0,0,40,*,>50K
268,"[0, 80[", Private,185480,*,13,*,*, Not-in-family,*,*,0,0,45,*,<=50K
269,"[0, 80[", Private,222205,*,9,*,*, Wife,*,*,0,0,40,*,>50K
270,"[0, 80[", Private,69867,*,9,*,*, Husband,*,*,0,0,40,*,>50K
271,"[0, 80[", Private,191260,*,5,*,*, Own-child,*,*,1055,0,24,*,<=50K
272,"[0, 80[", Self-emp-not-inc,30653,*,14,*,*, Husband,*,*,2407,0,98,*,<=50K
273,"[0, 80[", Local-gov,209109,*,14,*,*, Own-child,*,*,0,0,35,*,<=50K
274,"[0, 80[", Private,70377,*,9,*,*, Own-child,*,*,0,0,40,*,<=50K
275,"[0, 80[", Private,477983,*,9,*,*, Husband,*,*,0,0,40,*,<=50K
276,"[0, 80[", Private,170924,*,10,*,*, Husband,*,*,7298,0,40,*,>50K
277,"[0, 80[", Private,190174,*,10,*,*, Not-in-family,*,*,0,0,40,*,<=50K
278,"[0, 80[", Private,193787,*,10,*,*, Own-child,*,*,0,0,40,*,<=50K
279,"[0, 80[", Private,279472,*,10,*,*, Wife,*,*,7298,0,48,*,>50K
280,"[0, 80[", Private,34918,*,13,*,*, Not-in-family,*,*,0,0,15,*,<=50K
281,"[0, 80[", Local-gov,97688,*,10,*,*, Husband,*,*,5178,0,40,*,>50K
282,"[0, 80[", Private,175413,*,12,*,*, Unmarried,*,*,0,0,45,*,<=50K
284,"[0, 80[", Private,205759,*,9,*,*, Own-child,*,*,0,0,40,*,<=50K
285,"[0, 80[", Federal-gov,425161,*,14,*,*, Husband,*,*,15024,0,40,*,>50K
286,"[0, 80[", Private,220531,*,15,*,*, Husband,*,*,0,0,60,*,>50K
287,"[0, 80[", Private,176609,*,10,*,*, Not-in-family,*,*,0,0,45,*,<=50K
288,"[0, 80[", Private,371987,*,13,*,*, Not-in-family,*,*,0,0,40,*,<=50K
289,"[0, 80[", Private,193884,*,4,*,*, Husband,*,*,0,0,40,*,<=50K
290,"[0, 80[", Private,200352,*,13,*,*, Husband,*,*,0,0,45,*,<=50K
291,"[0, 80[", Private,127595,*,9,*,*, Not-in-family,*,*,0,0,40,*,<=50K
292,"[0, 80[", Local-gov,220419,*,13,*,*, Not-in-family,*,*,0,0,56,*,<=50K
293,"[0, 80[", Private,231931,*,10,*,*, Own-child,*,*,0,0,45,*,<=50K
294,"[0, 80[", Private,248402,*,13,*,*, Unmarried,*,*,0,0,40,*,<=50K
295,"[0, 80[", Private,111095,*,9,*,*, Husband,*,*,0,0,16,*,<=50K
296,"[0, 80[", Self-emp-inc,57424,*,13,*,*, Not-in-family,*,*,0,0,60,*,<=50K
298,"[0, 80[", Private,278130,*,9,*,*, Own-child,*,*,0,0,40,*,<=50K
299,"[0, 80[", Private,169469,*,9,*,*, Not-in-family,*,*,0,0,80,*,<=50K
300,"[0, 80[", Private,146268,*,13,*,*, Husband,*,*,7688,0,40,*,>50K
301,"[0, 80[", Private,153718,*,10,*,*, Not-in-family,*,*,0,0,25,*,<=50K
302,"[0, 80[", Private,217460,*,9,*,*, Husband,*,*,0,0,45,*,>50K
303,"[0, 80[", Private,238638,*,9,*,*, Husband,*,*,4386,0,40,*,>50K
304,"[0, 80[", Private,303296,*,10,*,*, Wife,*,*,0,0,40,*,<=50K
305,"[0, 80[", Private,173321,*,9,*,*, Not-in-family,*,*,0,0,40,*,<=50K
306,"[0, 80[", Private,193945,*,12,*,*, Not-in-family,*,*,0,0,45,*,<=50K
307,"[0, 80[", Private,83082,*,12,*,*, Not-in-family,*,*,0,0,33,*,<=50K
308,"[0, 80[", Private,193815,*,12,*,*, Husband,*,*,0,0,40,*,>50K
309,"[0, 80[", Self-emp-inc,34987,*,10,*,*, Husband,*,*,0,0,54,*,>50K
310,"[0, 80[", Private,59306,*,13,*,*, Not-in-family,*,*,0,0,40,*,<=50K
