index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary-class
68,"[40, 80[", Self-emp-inc,191681,Higher education,10,Spouse present,*, Husband,*,Male,0,0,50,United-States,>50K
72,"[0, 40[", Self-emp-not-inc,162298,Higher education,13,Spouse present,*, Husband,*,Male,0,0,70,United-States,>50K
73,"[0, 40[", Private,211678,Higher education,10,Spouse not present,*, Not-in-family,*,Male,0,0,40,United-States,<=50K
78,"[0, 40[", Private,309634,Secondary education,7,Spouse not present,*, Own-child,*,Female,0,0,22,United-States,<=50K
80,"[0, 40[", Private,446839,Secondary education,9,Spouse not present,*, Not-in-family,*,Male,0,0,30,United-States,<=50K
82,"[40, 80[", Private,51618,Secondary education,9,Spouse present,*, Wife,*,Female,0,0,40,United-States,<=50K
83,"[40, 80[", Private,159937,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,48,United-States,<=50K
85,"[40, 80[", Private,346253,Secondary education,9,Spouse not present,*, Own-child,*,Female,0,0,35,United-States,<=50K
86,"[40, 80[", Local-gov,268234,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,40,United-States,>50K
87,"[0, 40[", Private,202051,Higher education,14,Spouse present,*, Husband,*,Male,0,0,50,United-States,<=50K
94,"[0, 40[", Local-gov,226296,Higher education,13,Spouse present,*, Husband,*,Male,0,0,40,United-States,>50K
95,"[0, 40[", Local-gov,115585,Higher education,10,Spouse not present,*, Not-in-family,*,Male,0,0,50,United-States,<=50K
96,"[40, 80[", Self-emp-not-inc,191277,Higher education,16,Spouse present,*, Husband,*,Male,0,1902,60,United-States,>50K
97,"[0, 40[", Private,202683,Higher education,10,Spouse present,*, Husband,*,Male,0,0,48,United-States,>50K
99,"[0, 40[", Federal-gov,249409,Secondary education,9,Spouse not present,*, Own-child,*,Male,0,0,40,United-States,<=50K
101,"[40, 80[", Private,198282,Higher education,13,Spouse present,*, Husband,*,Male,15024,0,60,United-States,>50K
102,"[40, 80[", Self-emp-not-inc,149116,Higher education,14,Spouse not present,*, Not-in-family,*,Female,0,0,50,United-States,<=50K
103,"[0, 40[", Private,188300,Higher education,10,Spouse not present,*, Own-child,*,Female,0,0,40,United-States,<=50K
104,"[0, 40[", Private,103432,Secondary education,9,Spouse not present,*, Not-in-family,*,Male,0,0,40,United-States,<=50K
105,"[0, 40[", Self-emp-inc,317660,Secondary education,9,Spouse present,*, Husband,*,Male,7688,0,40,United-States,>50K
106,"[0, 40[", ?,304873,Secondary education,6,Spouse not present,*, Own-child,*,Female,34095,0,32,United-States,<=50K
108,"[0, 40[", Local-gov,189265,Secondary education,9,Spouse not present,*, Not-in-family,*,Female,0,0,40,United-States,<=50K
109,"[40, 80[", Private,124692,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,40,United-States,<=50K
110,"[0, 40[", Private,432376,Higher education,13,Spouse not present,*, Other-relative,*,Male,0,0,40,United-States,<=50K
111,"[0, 40[", Private,65324,Higher education,15,Spouse present,*, Husband,*,Male,0,0,40,United-States,>50K
114,"[0, 40[", Private,102864,Secondary education,9,Spouse not present,*, Own-child,*,Female,0,0,40,United-States,<=50K
116,"[40, 80[", Self-emp-inc,303090,Higher education,10,Spouse present,*, Husband,*,Male,0,0,50,United-States,<=50K
117,"[40, 80[", Local-gov,197371,Higher education,11,Spouse present,*, Husband,*,Male,0,0,40,United-States,>50K
118,"[40, 80[", Private,247552,Higher education,10,Spouse present,*, Husband,*,Male,0,0,56,United-States,<=50K
119,"[0, 40[", Private,102632,Secondary education,9,Spouse not present,*, Not-in-family,*,Male,0,0,41,United-States,<=50K
120,"[0, 40[", Private,199915,Higher education,10,Spouse not present,*, Own-child,*,Female,0,0,40,United-States,<=50K
121,"[40, 80[", Private,118853,Higher education,13,Spouse present,*, Husband,*,Male,0,0,60,United-States,<=50K
123,"[0, 40[", State-gov,267989,Higher education,13,Spouse present,*, Husband,*,Male,0,0,50,United-States,>50K
124,"[0, 40[", Private,301606,Higher education,10,Spouse not present,*, Own-child,*,Male,0,0,35,United-States,<=50K
126,"[0, 40[", Private,111697,Higher education,10,Spouse not present,*, Own-child,*,Female,0,1719,28,United-States,<=50K
128,"[0, 40[", ?,129305,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,40,United-States,<=50K
129,"[0, 40[", Private,365739,Higher education,10,Spouse not present,*, Not-in-family,*,Male,0,0,40,United-States,<=50K
131,"[0, 40[", Private,43323,Secondary education,9,Spouse not present,*, Not-in-family,*,Female,0,1762,40,United-States,<=50K
132,"[0, 40[", Self-emp-not-inc,120985,Secondary education,9,Spouse present,*, Husband,*,Male,4386,0,35,United-States,<=50K
133,"[0, 40[", Private,254202,Higher education,13,Spouse present,*, Husband,*,Male,0,0,50,United-States,<=50K
136,"[40, 80[", Self-emp-not-inc,56920,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,60,United-States,<=50K
138,"[0, 40[", Private,34310,Higher education,10,Spouse not present,*, Own-child,*,Male,0,0,20,United-States,<=50K
139,"[40, 80[", Private,81973,Higher education,10,Spouse present,*, Husband,*,Male,0,0,40,United-States,>50K
140,"[40, 80[", Self-emp-inc,66614,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,40,United-States,<=50K
141,"[0, 40[", Private,232782,Higher education,10,Spouse not present,*, Own-child,*,Female,0,0,40,United-States,<=50K
146,"[0, 40[", Private,175374,Higher education,10,Spouse present,*, Husband,*,Male,0,0,24,United-States,<=50K
151,"[0, 40[", Private,198183,Secondary education,9,Spouse not present,*, Not-in-family,*,Female,0,0,40,United-States,<=50K
153,"[0, 40[", Private,296158,Secondary education,9,Spouse not present,*, Own-child,*,Male,0,0,35,United-States,<=50K
155,"[40, 80[", Private,187715,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,46,United-States,<=50K
158,"[0, 40[", Private,191535,Secondary education,9,Spouse not present,*, Not-in-family,*,Male,0,0,60,United-States,<=50K
161,"[0, 40[", Private,252752,Secondary education,9,Spouse not present,*, Unmarried,*,Female,0,0,40,United-States,<=50K
162,"[40, 80[", Self-emp-inc,78374,Higher education,14,Spouse not present,*, Unmarried,*,Female,0,0,40,United-States,<=50K
164,"[40, 80[", Self-emp-not-inc,201080,Higher education,14,Spouse present,*, Husband,*,Male,0,0,40,United-States,>50K
168,"[0, 40[", Private,25828,Secondary education,7,Spouse not present,*, Own-child,*,Male,0,0,16,United-States,<=50K
170,"[0, 40[", Private,124953,Secondary education,9,Spouse not present,*, Not-in-family,*,Male,0,1980,40,United-States,<=50K
171,"[0, 40[", State-gov,175325,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,40,United-States,<=50K
172,"[40, 80[", Private,96062,Higher education,10,Spouse present,*, Husband,*,Male,0,1977,40,United-States,>50K
173,"[0, 40[", Private,428030,Higher education,13,Spouse not present,*, Not-in-family,*,Male,0,0,50,United-States,<=50K
174,"[0, 40[", State-gov,149624,Higher education,13,Spouse present,*, Husband,*,Male,0,0,40,United-States,>50K
176,"[0, 40[", Private,312956,Secondary education,9,Spouse not present,*, Own-child,*,Male,0,0,40,United-States,<=50K
177,"[0, 40[", Private,483777,Secondary education,9,Spouse not present,*, Not-in-family,*,Male,0,0,40,United-States,<=50K
178,"[0, 40[", Private,183930,Secondary education,9,Spouse not present,*, Own-child,*,Male,0,0,12,United-States,<=50K
179,"[0, 40[", Private,37274,Higher education,13,Spouse present,*, Husband,*,Male,0,0,65,United-States,<=50K
180,"[40, 80[", Local-gov,181344,Higher education,10,Spouse present,*, Husband,*,Male,0,0,38,United-States,>50K
181,"[40, 80[", Private,114580,Higher education,10,Spouse not present,*, Not-in-family,*,Female,0,0,40,United-States,<=50K
182,"[0, 40[", Private,633742,Higher education,10,Spouse not present,*, Not-in-family,*,Male,0,0,45,United-States,<=50K
184,"[0, 40[", Federal-gov,29054,Higher education,10,Spouse present,*, Husband,*,Male,0,0,42,United-States,>50K
185,"[0, 40[", Private,304030,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,40,United-States,<=50K
186,"[40, 80[", Self-emp-not-inc,143129,Higher education,13,Spouse not present,*, Not-in-family,*,Female,0,0,40,United-States,<=50K
189,"[40, 80[", State-gov,109567,Higher education,16,Spouse present,*, Husband,*,Male,0,0,1,United-States,>50K
192,"[40, 80[", Local-gov,523910,Higher education,13,Spouse present,*, Husband,*,Male,0,0,40,United-States,<=50K
193,"[40, 80[", Private,120939,Higher education,10,Spouse present,*, Husband,*,Male,0,0,45,United-States,<=50K
194,"[40, 80[", Federal-gov,130760,Higher education,13,Spouse present,*, Husband,*,Male,0,0,24,United-States,<=50K
196,"[0, 40[", Private,99374,Higher education,10,Spouse not present,*, Not-in-family,*,Male,0,0,40,United-States,<=50K
197,"[40, 80[", Federal-gov,56795,Higher education,14,Spouse not present,*, Not-in-family,*,Female,14084,0,55,United-States,>50K
198,"[0, 40[", Private,138992,Higher education,14,Spouse present,*, Other-relative,*,Male,7298,0,40,United-States,>50K
199,"[0, 40[", Self-emp-not-inc,32921,Secondary education,9,Spouse not present,*, Not-in-family,*,Male,0,0,40,United-States,<=50K
200,"[0, 40[", Private,397317,Higher education,14,Spouse not present,*, Not-in-family,*,Female,0,1876,40,United-States,<=50K
202,"[40, 80[", Private,259323,Higher education,13,Spouse present,*, Husband,*,Male,0,0,50,United-States,>50K
204,"[0, 40[", State-gov,48211,Secondary education,9,Spouse not present,*, Unmarried,*,Female,0,0,35,United-States,<=50K
205,"[0, 40[", Private,140164,Secondary education,7,Spouse not present,*, Own-child,*,Female,0,0,40,United-States,<=50K
207,"[0, 40[", Private,36270,Secondary education,9,Spouse not present,*, Not-in-family,*,Male,0,0,60,United-States,<=50K
209,"[0, 40[", Private,65368,Secondary education,7,Spouse not present,*, Own-child,*,Female,0,0,12,United-States,<=50K
210,"[40, 80[", Local-gov,160943,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,40,United-States,<=50K
211,"[0, 40[", Private,208358,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,40,United-States,>50K
213,"[40, 80[", Private,85815,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,40,United-States,<=50K
215,"[0, 40[", Private,635913,Higher education,13,Spouse not present,*, Not-in-family,*,Male,0,0,60,United-States,>50K
218,"[40, 80[", Private,109434,Higher education,13,Spouse present,*, Husband,*,Male,0,0,55,United-States,<=50K
220,"[0, 40[", Private,197860,Higher education,10,Spouse present,*, Husband,*,Male,0,0,40,United-States,<=50K
223,"[40, 80[", Private,176681,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,20,United-States,<=50K
225,"[0, 40[", Private,243313,Secondary education,9,Spouse not present,*, Own-child,*,Female,0,0,40,United-States,<=50K
227,"[40, 80[", Self-emp-not-inc,167687,Secondary education,9,Spouse present,*, Husband,*,Male,1409,0,50,United-States,<=50K
232,"[0, 40[", Private,159732,Higher education,10,Spouse not present,*, Not-in-family,*,Male,0,0,42,United-States,<=50K
234,"[0, 40[", Private,76714,Higher education,15,Spouse not present,*, Not-in-family,*,Male,0,0,55,United-States,>50K
235,"[40, 80[", State-gov,268700,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,40,United-States,<=50K
236,"[40, 80[", State-gov,170525,Higher education,10,Spouse not present,*, Not-in-family,*,Female,0,0,38,United-States,<=50K
238,"[0, 40[", Local-gov,115076,Higher education,14,Spouse present,*, Husband,*,Male,0,0,70,United-States,>50K
239,"[0, 40[", Private,115458,Secondary education,9,Spouse not present,*, Own-child,*,Male,0,0,40,United-States,<=50K
240,"[40, 80[", Private,347890,Higher education,13,Spouse present,*, Husband,*,Male,0,0,40,United-States,>50K
243,"[0, 40[", ?,119156,Higher education,10,Spouse not present,*, Own-child,*,Male,0,0,20,United-States,<=50K
244,"[0, 40[", Private,179488,Higher education,10,Spouse not present,*, Not-in-family,*,Male,0,1741,40,United-States,<=50K
246,"[40, 80[", Private,236596,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,45,United-States,>50K
247,"[0, 40[", Private,183916,Secondary education,9,Spouse not present,*, Not-in-family,*,Female,0,0,34,United-States,<=50K
248,"[40, 80[", Private,207578,Higher education,12,Spouse present,*, Husband,*,Male,0,1977,60,United-States,>50K
253,"[0, 40[", Local-gov,27382,Higher education,10,Spouse not present,*, Own-child,*,Male,0,0,40,United-States,<=50K
256,"[0, 40[", Private,117789,Secondary education,9,Spouse not present,*, Own-child,*,Female,0,0,40,United-States,<=50K
257,"[0, 40[", Private,172579,Secondary education,9,Spouse not present,*, Not-in-family,*,Female,0,0,30,United-States,<=50K
260,"[0, 40[", Private,150042,Higher education,13,Spouse not present,*, Own-child,*,Female,0,0,40,United-States,<=50K
261,"[40, 80[", Private,98092,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,60,United-States,<=50K
262,"[0, 40[", Private,245918,Secondary education,7,Spouse not present,*, Own-child,*,Male,0,0,12,United-States,<=50K
263,"[40, 80[", Private,146013,Higher education,10,Spouse present,*, Husband,*,Male,4064,0,40,United-States,<=50K
264,"[0, 40[", Private,378322,Secondary education,7,Spouse present,*, Husband,*,Male,0,0,40,United-States,<=50K
267,"[40, 80[", Private,21174,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,40,United-States,>50K
268,"[0, 40[", Private,185480,Higher education,13,Spouse not present,*, Not-in-family,*,Female,0,0,45,United-States,<=50K
270,"[40, 80[", Private,69867,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,40,United-States,>50K
271,"[0, 40[", Private,191260,Secondary education,5,Spouse not present,*, Own-child,*,Male,1055,0,24,United-States,<=50K
273,"[0, 40[", Local-gov,209109,Higher education,14,Spouse not present,*, Own-child,*,Male,0,0,35,United-States,<=50K
275,"[40, 80[", Private,477983,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,40,United-States,<=50K
276,"[40, 80[", Private,170924,Higher education,10,Spouse present,*, Husband,*,Male,7298,0,40,United-States,>50K
278,"[0, 40[", Private,193787,Higher education,10,Spouse not present,*, Own-child,*,Female,0,0,40,United-States,<=50K
281,"[40, 80[", Local-gov,97688,Higher education,10,Spouse present,*, Husband,*,Male,5178,0,40,United-States,>50K
284,"[0, 40[", Private,205759,Secondary education,9,Spouse not present,*, Own-child,*,Male,0,0,40,United-States,<=50K
286,"[40, 80[", Private,220531,Higher education,15,Spouse present,*, Husband,*,Male,0,0,60,United-States,>50K
288,"[0, 40[", Private,371987,Higher education,13,Spouse not present,*, Not-in-family,*,Female,0,0,40,United-States,<=50K
290,"[0, 40[", Private,200352,Higher education,13,Spouse present,*, Husband,*,Male,0,0,45,United-States,<=50K
293,"[0, 40[", Private,231931,Higher education,10,Spouse not present,*, Own-child,*,Male,0,0,45,United-States,<=50K
294,"[0, 40[", Private,248402,Higher education,13,Spouse not present,*, Unmarried,*,Female,0,0,40,United-States,<=50K
298,"[0, 40[", Private,278130,Secondary education,9,Spouse not present,*, Own-child,*,Male,0,0,40,United-States,<=50K
300,"[40, 80[", Private,146268,Higher education,13,Spouse present,*, Husband,*,Male,7688,0,40,United-States,>50K
301,"[0, 40[", Private,153718,Higher education,10,Spouse not present,*, Not-in-family,*,Female,0,0,25,United-States,<=50K
302,"[0, 40[", Private,217460,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,45,United-States,>50K
303,"[40, 80[", Private,238638,Secondary education,9,Spouse present,*, Husband,*,Male,4386,0,40,United-States,>50K
305,"[40, 80[", Private,173321,Secondary education,9,Spouse not present,*, Not-in-family,*,Female,0,0,40,United-States,<=50K
309,"[40, 80[", Self-emp-inc,34987,Higher education,10,Spouse present,*, Husband,*,Male,0,0,54,United-States,>50K
310,"[0, 40[", Private,59306,Higher education,13,Spouse not present,*, Not-in-family,*,Male,0,0,40,United-States,<=50K
312,"[0, 40[", ?,860348,Higher education,10,Spouse not present,*, Own-child,*,Female,0,0,25,United-States,<=50K
313,"[0, 40[", Self-emp-not-inc,205607,Higher education,13,Spouse not present,*, Not-in-family,*,Female,0,0,40,United-States,>50K
314,"[0, 40[", Private,199698,Higher education,10,Spouse not present,*, Own-child,*,Male,0,0,15,United-States,<=50K
315,"[0, 40[", Private,191954,Higher education,10,Spouse not present,*, Not-in-family,*,Male,0,0,40,United-States,<=50K
318,"[0, 40[", Private,423158,Higher education,10,Spouse not present,*, Not-in-family,*,Female,0,0,40,United-States,<=50K
319,"[40, 80[", Private,159841,Secondary education,9,Spouse not present,*, Not-in-family,*,Female,0,0,24,United-States,<=50K
320,"[0, 40[", Self-emp-not-inc,174308,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,40,United-States,<=50K
321,"[40, 80[", Private,50356,Higher education,10,Spouse present,*, Husband,*,Male,0,1485,50,United-States,<=50K
322,"[0, 40[", Private,186110,Secondary education,9,Spouse not present,*, Not-in-family,*,Male,0,0,45,United-States,<=50K
325,"[40, 80[", Self-emp-not-inc,78383,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,45,United-States,<=50K
328,"[40, 80[", Self-emp-not-inc,321171,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,40,United-States,<=50K
330,"[40, 80[", Private,206565,Higher education,10,Spouse not present,*, Not-in-family,*,Male,0,0,45,United-States,<=50K
331,"[0, 40[", Private,224563,Higher education,13,Spouse not present,*, Not-in-family,*,Male,0,0,40,United-States,<=50K
334,"[40, 80[", Private,242606,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,40,United-States,<=50K
336,"[0, 40[", Private,94235,Secondary education,9,Spouse not present,*, Other-relative,*,Male,0,0,40,United-States,<=50K
339,"[40, 80[", Private,261192,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,40,United-States,<=50K
340,"[0, 40[", Private,94936,Higher education,12,Spouse not present,*, Not-in-family,*,Male,0,0,40,United-States,<=50K
341,"[0, 40[", Private,296478,Higher education,11,Spouse present,*, Husband,*,Male,7298,0,40,United-States,>50K
342,"[0, 40[", State-gov,119272,Secondary education,9,Spouse present,*, Husband,*,Male,7298,0,40,United-States,>50K
343,"[0, 40[", Private,85043,Secondary education,9,Spouse not present,*, Not-in-family,*,Male,0,0,20,United-States,<=50K
345,"[40, 80[", Self-emp-not-inc,241895,Higher education,13,Spouse not present,*, Not-in-family,*,Male,0,0,42,United-States,<=50K
349,"[0, 40[", Private,156464,Higher education,13,Spouse not present,*, Own-child,*,Male,0,0,25,United-States,<=50K
350,"[0, 40[", Private,117963,Higher education,13,Spouse present,*, Husband,*,Male,0,0,40,United-States,>50K
351,"[0, 40[", Private,192262,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,40,United-States,<=50K
352,"[0, 40[", Private,111363,Higher education,13,Spouse present,*, Husband,*,Male,0,0,40,United-States,>50K
355,"[0, 40[", Federal-gov,95432,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,40,United-States,>50K
358,"[40, 80[", Private,111949,Secondary education,9,Spouse present,*, Wife,*,Female,0,0,35,United-States,<=50K
363,"[40, 80[", Private,174575,Higher education,13,Spouse not present,*, Not-in-family,*,Male,0,1564,45,United-States,>50K
365,"[0, 40[", Private,92262,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,40,United-States,<=50K
366,"[40, 80[", Self-emp-not-inc,183081,Higher education,10,Spouse present,*, Husband,*,Male,0,0,45,United-States,<=50K
369,"[0, 40[", Private,481060,Secondary education,9,Spouse not present,*, Unmarried,*,Female,0,0,40,United-States,<=50K
370,"[0, 40[", Federal-gov,185885,Higher education,10,Spouse not present,*, Unmarried,*,Female,0,0,15,United-States,<=50K
371,"[0, 40[", Private,89821,Secondary education,7,Spouse not present,*, Own-child,*,Male,0,0,10,United-States,<=50K
373,"[40, 80[", Private,256649,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,40,United-States,<=50K
374,"[40, 80[", Private,160323,Secondary education,9,Spouse not present,*, Not-in-family,*,Male,0,0,40,United-States,<=50K
375,"[0, 40[", Local-gov,350845,Higher education,10,Spouse not present,*, Own-child,*,Female,0,0,10,United-States,<=50K
377,"[0, 40[", Private,35633,Higher education,10,Spouse not present,*, Not-in-family,*,Male,0,0,40,United-States,<=50K
379,"[0, 40[", Private,172927,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,50,United-States,<=50K
380,"[40, 80[", Private,174319,Secondary education,9,Spouse not present,*, Not-in-family,*,Male,0,0,40,United-States,<=50K
382,"[0, 40[", Private,344991,Higher education,10,Spouse present,*, Husband,*,Male,0,0,40,United-States,<=50K
385,"[0, 40[", Private,396099,Secondary education,9,Spouse not present,*, Not-in-family,*,Female,0,0,25,United-States,<=50K
387,"[40, 80[", Private,162028,Higher education,10,Spouse present,*, Wife,*,Female,0,2415,6,United-States,>50K
388,"[0, 40[", Private,25429,Higher education,10,Spouse not present,*, Own-child,*,Female,0,0,16,United-States,<=50K
389,"[0, 40[", Private,232392,Secondary education,9,Spouse not present,*, Other-relative,*,Female,0,0,40,United-States,<=50K
391,"[0, 40[", Private,301302,Higher education,13,Spouse not present,*, Not-in-family,*,Male,0,0,50,United-States,<=50K
394,"[0, 40[", Private,196164,Secondary education,9,Spouse not present,*, Not-in-family,*,Female,0,0,35,United-States,<=50K
395,"[40, 80[", Private,115562,Higher education,10,Spouse present,*, Husband,*,Male,0,0,40,United-States,<=50K
397,"[0, 40[", ?,137300,Secondary education,9,Spouse not present,*, Other-relative,*,Female,0,0,35,United-States,<=50K
398,"[0, 40[", Private,86872,Higher education,13,Spouse present,*, Husband,*,Male,0,0,55,United-States,>50K
399,"[40, 80[", Self-emp-inc,132178,Higher education,13,Spouse present,*, Husband,*,Male,0,0,50,United-States,>50K
400,"[0, 40[", Private,416103,Higher education,10,Spouse not present,*, Own-child,*,Male,0,0,40,United-States,<=50K
401,"[0, 40[", Private,108574,Higher education,10,Spouse not present,*, Not-in-family,*,Female,0,0,40,United-States,<=50K
405,"[40, 80[", Private,445382,Higher education,14,Spouse present,*, Husband,*,Male,0,1977,65,United-States,>50K
406,"[0, 40[", Private,110145,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,40,United-States,<=50K
407,"[40, 80[", Self-emp-not-inc,317253,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,25,United-States,<=50K
409,"[0, 40[", Private,364657,Higher education,10,Spouse present,*, Husband,*,Male,0,0,50,United-States,<=50K
410,"[40, 80[", Local-gov,42346,Higher education,10,Spouse not present,*, Not-in-family,*,Female,0,0,24,United-States,<=50K
411,"[0, 40[", Private,241951,Secondary education,9,Spouse not present,*, Unmarried,*,Female,0,0,40,United-States,<=50K
414,"[0, 40[", State-gov,1033222,Higher education,10,Spouse present,*, Husband,*,Male,0,0,40,United-States,<=50K
421,"[0, 40[", Private,175024,Secondary education,7,Spouse not present,*, Own-child,*,Male,2176,0,18,United-States,<=50K
422,"[0, 40[", State-gov,92003,Higher education,13,Spouse present,*, Wife,*,Female,0,0,40,United-States,>50K
425,"[0, 40[", Private,133373,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,60,United-States,<=50K
426,"[0, 40[", Federal-gov,255191,Higher education,14,Spouse not present,*, Not-in-family,*,Male,0,1408,40,United-States,<=50K
428,"[40, 80[", Self-emp-inc,222289,Secondary education,9,Spouse present,*, Husband,*,Male,0,0,40,United-States,>50K
429,"[40, 80[", Local-gov,287480,Higher education,14,Spouse present,*, Husband,*,Male,0,0,40,United-States,<=50K
431,"[0, 40[", ?,202521,Secondary education,7,Spouse not present,*, Own-child,*,Male,0,0,40,United-States,<=50K
435,"[0, 40[", Private,208405,Higher education,14,Spouse present,*, Husband,*,Male,0,0,50,United-States,>50K
