index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
33,"[0, 40[", Federal-gov,59951,*,10,Spouse present,*, Own-child,*,Male,0,0,40,*,<=50K
34,"[0, 40[", State-gov,311512,*,10,Spouse present,*, Husband,*,Male,0,0,15,*,<=50K
36,"[0, 40[", Private,197200,*,10,Spouse not present,*, Own-child,*,Male,0,0,40,*,<=50K
38,"[0, 40[", Private,84154,*,10,Spouse present,*, Husband,*,Male,0,0,38,*,>50K
39,"[40, 80[", Self-emp-not-inc,265477,*,12,Spouse present,*, Husband,*,Male,0,0,40,*,<=50K
40,"[0, 40[", Private,507875,*,5,Spouse present,*, Husband,*,Male,0,0,43,*,<=50K
41,"[40, 80[", Self-emp-not-inc,88506,*,13,Spouse present,*, Husband,*,Male,0,0,40,*,<=50K
42,"[0, 40[", Private,172987,*,13,Spouse present,*, Husband,*,Male,0,0,50,*,<=50K
43,"[40, 80[", Private,94638,*,9,Spouse not present,*, Unmarried,*,Female,0,0,40,*,<=50K
44,"[0, 40[", Private,289980,*,9,Spouse not present,*, Not-in-family,*,Male,0,0,35,*,<=50K
45,"[40, 80[", Federal-gov,337895,*,13,Spouse present,*, Husband,*,Male,0,0,40,*,>50K
46,"[40, 80[", Private,144361,*,9,Spouse present,*, Husband,*,Male,0,0,38,*,<=50K
47,"[40, 80[", Private,128354,*,14,Spouse not present,*, Unmarried,*,Female,0,0,40,*,<=50K
48,"[40, 80[", State-gov,101603,*,11,Spouse present,*, Husband,*,Male,0,0,40,*,<=50K
49,"[0, 40[", Private,271466,*,11,Spouse not present,*, Not-in-family,*,Male,0,0,43,*,<=50K
55,"[40, 80[", Private,237993,*,10,Spouse present,*, Husband,*,Male,0,0,40,*,>50K
56,"[40, 80[", Private,216666,*,3,Spouse present,*, Husband,*,Male,0,0,40,*,<=50K
57,"[0, 40[", Private,56352,*,11,Spouse present,*, Husband,*,Male,0,0,40,*,<=50K
58,"[40, 80[", Private,147372,*,9,Spouse present,*, Husband,*,Male,0,0,48,*,<=50K
59,"[0, 40[", Private,188146,*,9,Spouse present,*, Husband,*,Male,5013,0,40,*,<=50K
60,"[0, 40[", Private,59496,*,13,Spouse present,*, Husband,*,Male,2407,0,40,*,<=50K
61,"[0, 40[", ?,293936,*,4,Spouse not present,*, Not-in-family,*,Male,0,0,40,*,<=50K
62,"[40, 80[", Private,149640,*,9,Spouse present,*, Husband,*,Male,0,0,40,*,<=50K
63,"[40, 80[", Private,116632,*,16,Spouse present,*, Husband,*,Male,0,0,45,*,>50K
64,"[0, 40[", Private,105598,*,10,Spouse not present,*, Not-in-family,*,Male,0,0,58,*,<=50K
65,"[0, 40[", Private,155537,*,9,Spouse present,*, Husband,*,Male,0,0,40,*,<=50K
68,"[40, 80[", Self-emp-inc,191681,*,10,Spouse present,*, Husband,*,Male,0,0,50,*,>50K
69,"[0, 40[", ?,200681,*,10,Spouse not present,*, Own-child,*,Male,0,0,40,*,<=50K
70,"[0, 40[", Private,101509,*,10,Spouse not present,*, Own-child,*,Male,0,0,32,*,<=50K
72,"[0, 40[", Self-emp-not-inc,162298,*,13,Spouse present,*, Husband,*,Male,0,0,70,*,>50K
73,"[0, 40[", Private,211678,*,10,Spouse not present,*, Not-in-family,*,Male,0,0,40,*,<=50K
74,"[40, 80[", Private,124744,*,10,Spouse present,*, Other-relative,*,Male,0,0,20,*,<=50K
75,"[0, 40[", Private,213921,*,9,Spouse not present,*, Own-child,*,Male,0,0,40,*,<=50K
76,"[40, 80[", Private,32214,*,12,Spouse present,*, Husband,*,Male,0,0,40,*,<=50K
77,"[40, 80[", ?,212759,*,6,Spouse present,*, Husband,*,Male,0,0,2,*,<=50K
79,"[0, 40[", Local-gov,125927,*,4,Spouse present,*, Husband,*,Male,0,0,40,*,<=50K
80,"[0, 40[", Private,446839,*,9,Spouse not present,*, Not-in-family,*,Male,0,0,30,*,<=50K
81,"[40, 80[", Private,276515,*,13,Spouse present,*, Husband,*,Male,0,0,40,*,<=50K
83,"[40, 80[", Private,159937,*,9,Spouse present,*, Husband,*,Male,0,0,48,*,<=50K
84,"[40, 80[", Private,343591,*,9,Spouse not present,*, Not-in-family,*,Female,14344,0,40,*,>50K
85,"[40, 80[", Private,346253,*,9,Spouse not present,*, Own-child,*,Female,0,0,35,*,<=50K
86,"[40, 80[", Local-gov,268234,*,9,Spouse present,*, Husband,*,Male,0,0,40,*,>50K
87,"[0, 40[", Private,202051,*,14,Spouse present,*, Husband,*,Male,0,0,50,*,<=50K
88,"[0, 40[", Private,54334,*,5,Spouse not present,*, Not-in-family,*,Male,0,0,40,*,<=50K
89,"[40, 80[", Federal-gov,410867,*,16,Spouse not present,*, Not-in-family,*,Female,0,0,50,*,>50K
90,"[40, 80[", Private,249977,*,11,Spouse present,*, Husband,*,Male,0,0,40,*,<=50K
94,"[0, 40[", Local-gov,226296,*,13,Spouse present,*, Husband,*,Male,0,0,40,*,>50K
95,"[0, 40[", Local-gov,115585,*,10,Spouse not present,*, Not-in-family,*,Male,0,0,50,*,<=50K
96,"[40, 80[", Self-emp-not-inc,191277,*,16,Spouse present,*, Husband,*,Male,0,1902,60,*,>50K
97,"[0, 40[", Private,202683,*,10,Spouse present,*, Husband,*,Male,0,0,48,*,>50K
98,"[40, 80[", Private,171095,*,12,Spouse not present,*, Unmarried,*,Female,0,0,40,*,<=50K
